TimeUS,RollRate,Roll,DesRoll
0,-4.52954,0,-40.023
0.025,-8.76996,-0.113238,-40.023
0.05,-12.7269,-0.332487,-40.023
0.075,-16.4065,-0.65066,-40.023
0.1,-19.8151,-1.06082,-40.023
0.125,-22.9598,-1.5562,-40.023
0.15,-25.8477,-2.1302,-40.023
0.175,-28.4863,-2.77639,-40.023
0.2,-30.8834,-3.48855,-40.023
0.225,-33.0468,-4.26063,-40.023
0.25,-34.9848,-5.0868,-40.023
0.275,-36.7056,-5.96142,-40.023
0.3,-38.2175,-6.87906,-40.023
0.325,-39.5291,-7.8345,-40.023
0.35,-40.6489,-8.82273,-40.023
0.375,-41.5853,-9.83895,-40.023
0.4,-42.347,-10.8786,-40.023
0.425,-42.9423,-11.9373,-40.023
0.45,-43.3799,-13.0108,-40.023
0.475,-43.668,-14.0953,-40.023
0.5,-43.815,-15.187,-40.023
0.525,-43.8291,-16.2824,-40.023
0.55,-43.7183,-17.3781,-40.023
0.575,-43.4906,-18.4711,-40.023
0.6,-43.1537,-19.5583,-40.023
0.625,-42.7153,-20.6372,-40.023
0.65,-42.1827,-21.7051,-40.023
0.675,-41.5633,-22.7596,-40.023
0.7,-40.8641,-23.7987,-40.023
0.725,-40.0919,-24.8203,-40.023
0.75,-39.2534,-25.8226,-40.023
0.775,-38.3549,-26.8039,-40.023
0.8,-37.4028,-27.7628,-40.023
0.825,-36.4029,-28.6979,-40.023
0.85,-35.361,-29.608,-40.023
0.875,-34.2826,-30.492,-40.023
0.9,-33.1731,-31.3491,-40.023
0.925,-32.0373,-32.1784,-40.023
0.95,-30.8802,-32.9793,-40.023
0.975,-29.7062,-33.7513,-40.023
1,-28.5199,-34.494,-40.023
1.025,-27.3252,-35.207,-40.023
1.05,-26.1261,-35.8901,-40.023
1.075,-24.9262,-36.5433,-40.023
1.1,-23.729,-37.1664,-40.023
1.125,-22.5377,-37.7596,-40.023
1.15,-21.3552,-38.3231,-40.023
1.175,-20.1845,-38.857,-40.023
1.2,-19.0281,-39.3616,-40.023
1.225,-17.8884,-39.8373,-40.023
1.25,-16.7676,-40.2845,-40.023
1.275,-15.6678,-40.7037,-40.023
1.3,-14.5907,-41.0954,-40.023
1.325,-13.538,-41.4601,-40.023
1.35,-12.5112,-41.7986,-40.023
1.375,-11.5117,-42.1114,-40.023
1.4,-10.5405,-42.3992,-40.023
1.425,-9.59882,-42.6627,-40.023
1.45,-8.68739,-42.9026,-40.023
1.475,-7.80698,-43.1198,-40.023
1.5,-6.95819,-43.315,-40.023
1.525,-6.14148,-43.489,-40.023
1.55,-5.35722,-43.6425,-40.023
1.575,-4.60564,-43.7764,-40.023
1.6,-3.88688,-43.8916,-40.023
1.625,-3.20096,-43.9887,-40.023
1.65,-2.54783,-44.0688,-40.023
1.675,-1.92733,-44.1325,-40.023
1.7,-1.33923,-44.1806,-40.023
1.725,-0.783217,-44.2141,-40.023
1.75,-0.258903,-44.2337,-40.023
1.775,0.234161,-44.2402,-40.023
1.8,0.696484,-44.2343,-40.023
1.825,1.12864,-44.2169,-40.023
1.85,1.53123,-44.1887,-40.023
1.875,1.90494,-44.1504,-40.023
1.9,2.25046,-44.1028,-40.023
1.925,2.56853,-44.0465,-40.023
1.95,2.85994,-43.9823,-40.023
1.975,3.12548,-43.9108,-40.023
2,3.36597,-43.8327,-40.023
2.025,3.58228,-43.7485,-40.023
2.05,3.77525,-43.659,-40.023
2.075,3.94577,-43.5646,-40.023
2.1,4.09472,-43.4659,-40.023
2.125,4.22301,-43.3636,-40.023
2.15,4.33152,-43.258,-40.023
2.175,4.42115,-43.1497,-40.023
2.2,4.49281,-43.0392,-40.023
2.225,4.54738,-42.9269,-40.023
2.25,4.58576,-42.8132,-40.023
2.275,4.60883,-42.6985,-40.023
2.3,4.61745,-42.5833,-40.023
2.325,4.61247,-42.4679,-40.023
2.35,4.59475,-42.3526,-40.023
